day,month,year,product_id,agent_id,category,week_name,holiday,unit_price,quantity_sold
1,2,2024,2,42,0,3,0,297000.0,8.0
1,2,2024,2,45,0,3,0,1032300.0,33.3
1,2,2024,3,38,0,3,0,18200800.0,410.0
1,2,2024,3,42,0,3,0,13085000.0,290.0
1,2,2024,3,43,0,3,0,10180000.0,230.0
1,2,2024,3,45,0,3,0,88000.0,2.0
1,2,2024,3,47,0,3,0,9534400.0,213.0
1,2,2024,3,51,0,3,0,4615000.0,93.0
1,2,2024,3,52,0,3,0,713900.0,16.0
1,2,2024,6,38,0,3,0,1290000.0,30.0
1,2,2024,6,52,0,3,0,29820000.0,710.3
1,2,2024,7,38,0,3,0,4750400.0,132.0
1,2,2024,7,42,0,3,0,272000.0,8.0
1,2,2024,7,43,0,3,0,1000000.0,30.0
1,2,2024,7,45,0,3,0,238000.0,7.0
1,2,2024,7,47,0,3,0,6346800.0,197.0
1,2,2024,7,51,0,3,0,3040000.0,100.0
1,2,2024,7,52,0,3,0,416400.0,12.0
1,2,2024,8,43,2,3,0,330000.0,10.0
1,2,2024,10,42,0,3,0,465000.0,15.0
1,2,2024,10,43,0,3,0,780000.0,25.0
1,2,2024,10,47,0,3,0,2090000.0,67.0
1,2,2024,10,51,0,3,0,940000.0,30.0
1,2,2024,11,38,0,3,0,3781200.0,105.0
1,2,2024,11,42,0,3,0,1520000.0,45.0
1,2,2024,11,43,0,3,0,1253000.0,37.0
1,2,2024,11,47,0,3,0,2281600.0,64.0
1,2,2024,11,51,0,3,0,1394000.0,36.0
1,2,2024,11,52,0,3,0,675000.0,20.0
1,2,2024,12,43,2,3,0,310000.0,10.0
1,2,2024,15,38,0,3,0,1718400.0,48.0
1,2,2024,15,42,0,3,0,350000.0,10.0
1,2,2024,15,43,0,3,0,340000.0,10.0
1,2,2024,15,45,0,3,0,350000.0,10.0
1,2,2024,15,47,0,3,0,1790000.0,55.0
1,2,2024,15,51,0,3,0,1335000.0,40.0
1,2,2024,15,52,0,3,0,399000.0,12.0
1,2,2024,17,43,1,3,0,304500.0,10.0
1,2,2024,18,38,0,3,0,1775000.0,40.0
1,2,2024,18,42,0,3,0,306000.0,7.0
1,2,2024,18,45,0,3,0,86000.0,2.0
1,2,2024,18,47,0,3,0,220000.0,5.0
1,2,2024,21,38,0,3,0,2150000.0,50.0
1,2,2024,21,47,0,3,0,588000.0,14.0
1,2,2024,22,38,0,3,0,540000.0,18.0
1,2,2024,22,42,0,3,0,135000.0,5.0
1,2,2024,22,43,0,3,0,730000.0,25.0
1,2,2024,22,45,0,3,0,300000.0,10.0
1,2,2024,22,47,0,3,0,300000.0,10.0
1,2,2024,22,51,0,3,0,150000.0,5.0
1,2,2024,26,45,0,3,0,10000.0,10.0
1,2,2024,37,42,0,3,0,859200.0,28.0
1,2,2024,37,43,0,3,0,58000.0,2.5
1,2,2024,37,45,0,3,0,315000.0,5.0
1,2,2024,37,52,0,3,0,124700.0,4.2
1,2,2024,40,38,0,3,0,1789000.0,50.0
1,2,2024,40,47,0,3,0,357800.0,10.0
1,2,2024,40,52,0,3,0,2165800.0,63.7
1,2,2024,41,47,0,3,0,4500.0,3.6
1,2,2024,42,52,0,3,0,1626000.0,162.6
1,2,2024,43,52,0,3,0,2408000.0,56.0
1,2,2024,44,43,0,3,0,204000.0,30.0
1,2,2024,44,45,0,3,0,120000.0,12.0
1,2,2024,46,52,0,3,0,20920000.0,523.0
1,2,2025,2,42,0,5,0,155100.0,4.0
1,2,2025,2,43,0,5,0,59400.0,2.0
1,2,2025,2,51,0,5,0,267300.0,10.0
1,2,2025,3,42,0,5,0,7035000.0,180.0
1,2,2025,3,43,0,5,0,5965000.0,150.0
1,2,2025,3,47,0,5,0,6854000.0,171.0
1,2,2025,3,51,0,5,0,8415000.0,212.0
